station_id,canonical_station_key,canonical_station_name
5561.06,lafayette_jersey,Lafayette St & Jersey St
5561.08,lafayette_jersey,Lafayette St & Jersey St
5073.07,greenwich_rector,Greenwich St & Rector St
5073.08,greenwich_rector,Greenwich St & Rector St
4101.17,president_4ave,President St & 4 Ave
4101.18,president_4ave,President St & 4 Ave
7625.22,e118_park,E118 St & Park Ave
7625.18,e118_park,E118 St & Park Ave
8421.03,w181_riverside,W181 St & Riverside Dr
8381.04,w181_riverside,W181 St & Riverside Dr
